Stadtteilnummer;Stadtteilname;2015;2016;2017;2018;2019;2020;2021;2022
11;Altstadt;.;24;16;.;20;18;14;19
12;Carlstadt;23;32;28;17;15;19;20;26
13;Stadtmitte;151;175;143;142;143;133;131;133
14;Pempelfort;402;386;441;466;413;432;442;422
15;Derendorf;241;257;267;224;244;179;225;210
16;Golzheim;169;178;148;178;148;171;125;140
21;Flingern Süd;93;119;127;115;101;93;105;83
22;Flingern Nord;271;324;276;324;340;310;338;335
23;Düsseltal;348;370;358;326;334;325;342;296
31;Friedrichstadt;217;223;209;195;174;198;177;202
32;Unterbilk;228;210;232;232;205;222;235;212
33;Hafen;.;-;-;.;-;-;1;-
34;Hamm;86;75;49;70;69;77;64;57
35;Volmerswerth;23;26;25;19;24;23;24;24
36;Bilk;431;417;439;433;424;442;407;377
37;Oberbilk;352;331;343;340;342;306;311;316
38;Flehe;26;41;20;32;28;29;31;27
41;Oberkassel;199;235;250;254;229;227;234;206
42;Heerdt;117;126;122;122;138;160;138;136
43;Lörick;56;66;67;61;62;68;48;57
44;Niederkassel;53;47;64;59;52;50;41;47
51;Stockum;31;31;37;33;36;41;41;41
52;Lohausen;29;37;40;29;31;35;39;29
53;Kaiserswerth;56;77;56;53;52;48;47;58
54;Wittlaer;55;56;47;56;50;43;56;59
55;Angermund;56;66;58;48;54;69;55;46
56;Kalkum;18;10;10;8;15;15;9;11
61;Lichtenbroich;42;66;74;49;57;62;53;65
62;Unterrath;153;188;190;170;157;172;186;164
63;Rath;220;243;224;235;188;213;213;224
64;Mörsenbroich;173;223;240;241;200;202;205;194
71;Gerresheim;234;263;264;244;224;221;221;235
72;Grafenberg;72;52;78;57;78;59;59;67
73;Ludenberg;96;107;87;89;83;93;76;74
74;Hubbelrath;9;11;10;10;6;7;14;11
75;Knittkuhl;27;19;25;28;17;17;23;14
81;Lierenfeld;108;99;128;125;102;94;121;96
82;Eller;321;330;318;324;309;289;301;294
83;Vennhausen;88;101;78;93;90;73;77;80
84;Unterbach;75;70;79;60;82;71;83;68
91;Wersten;263;235;243;275;229;245;236;205
92;Himmelgeist;33;27;29;20;18;20;20;27
93;Holthausen;138;144;167;155;128;133;136;120
94;Reisholz;46;35;55;37;48;36;30;26
95;Benrath;196;202;184;183;185;165;210;179
96;Urdenbach;68;84;88;70;82;68;77;76
97;Itter;19;23;14;22;12;17;19;8
98;Hassels;173;174;213;184;199;184;202;216
101;Garath;190;203;216;225;179;188;192;175
102;Hellerhof;38;48;50;35;40;42;48;41
